src_id,dst_id,weight,shared_nonlisted_target_cnt,shared_nonlisted_target_amt_sum
2425,579,1.0,1,0.0
2425,639,1.0,1,0.0
2425,640,1.0,1,0.0
2425,830,1.0,1,0.0
2425,904,1.0,1,0.0
2425,932,1.0,1,0.0
2425,1009,1.0,1,0.0
2425,1044,1.0,1,0.0
2425,1120,1.0,1,0.0
2425,1168,1.0,1,0.0
2425,2182,1.0,1,0.0
2425,2297,1.0,1,0.0
2425,2732,1.0,1,0.0
2425,2861,1.0,1,0.0
2493,224,1.0,1,0.0
2493,334,1.0,1,0.0
2493,1046,1.0,1,0.0
2493,2236,1.0,1,0.0
2493,2248,1.0,1,0.0
2566,818,1.0,1,0.0
2566,1125,1.0,1,0.0
2566,2941,8.006700845440367,1,3000.0
2584,121,1.0,1,0.0
2584,153,1.0,1,0.0
2584,256,1.0,1,0.0
2584,300,1.0,1,0.0
2584,361,1.0,1,0.0
2584,830,1.0,1,0.0
2584,908,1.0,1,0.0
2584,976,1.0,1,0.0
2584,1004,1.0,1,0.0
2584,1021,1.0,1,0.0
2584,1040,1.0,1,0.0
2584,1082,1.0,1,0.0
2584,1108,1.0,1,0.0
2584,2333,1.0,1,0.0
2584,2624,1.0,1,0.0
2584,2625,1.0,1,0.0
2584,2770,1.0,1,0.0
2624,121,1.0,1,0.0
2624,153,1.0,1,0.0
2624,256,1.0,1,0.0
2624,300,1.0,1,0.0
2624,361,1.0,1,0.0
2624,830,1.0,1,0.0
2624,908,1.0,1,0.0
2624,976,1.0,1,0.0
2624,1004,1.0,1,0.0
2624,1021,1.0,1,0.0
2624,1040,1.0,1,0.0
2624,1082,1.0,1,0.0
2624,1108,1.0,1,0.0
2624,2333,1.0,1,0.0
2624,2584,1.0,1,0.0
2624,2625,1.0,1,0.0
2624,2770,1.0,1,0.0
2625,121,1.0,1,0.0
2625,153,1.0,1,0.0
2625,256,1.0,1,0.0
2625,300,1.0,1,0.0
2625,361,1.0,1,0.0
2625,830,1.0,1,0.0
2625,908,1.0,1,0.0
2625,976,1.0,1,0.0
2625,1004,1.0,1,0.0
2625,1021,1.0,1,0.0
2625,1040,1.0,1,0.0
2625,1082,1.0,1,0.0
2625,1108,1.0,1,0.0
2625,2333,1.0,1,0.0
2625,2584,1.0,1,0.0
2625,2624,1.0,1,0.0
2625,2770,1.0,1,0.0
2658,408,1.0,1,0.0
2658,1209,1.0,1,0.0
2658,1228,1.0,1,0.0
2658,2192,1.0,1,0.0
2658,2269,1.0,1,0.0
2658,2830,1.0,1,0.0
2732,166,1.0,1,0.0
2732,353,1.0,1,0.0
2732,377,1.0,1,0.0
2732,421,1.0,1,0.0
2732,482,1.0,1,0.0
2732,579,1.0,1,0.0
2732,639,1.0,1,0.0
2732,640,1.0,1,0.0
2732,830,1.0,1,0.0
2732,904,1.0,1,0.0
2732,932,1.0,1,0.0
2732,1009,1.0,1,0.0
2732,1044,1.0,1,0.0
2732,1120,1.0,1,0.0
2732,1168,1.0,1,0.0
2732,2182,1.0,1,0.0
2732,2297,1.0,1,0.0
2732,2425,1.0,1,0.0
2732,2861,1.0,1,0.0
2770,121,1.0,1,0.0
2770,153,1.0,1,0.0
2770,256,1.0,1,0.0
2770,300,1.0,1,0.0
2770,361,1.0,1,0.0
2770,830,1.0,1,0.0
2770,908,1.0,1,0.0
2770,976,1.0,1,0.0
2770,1004,1.0,1,0.0
2770,1021,1.0,1,0.0
2770,1040,1.0,1,0.0
2770,1082,1.0,1,0.0
2770,1108,1.0,1,0.0
2770,2333,1.0,1,0.0
2770,2584,1.0,1,0.0
2770,2624,1.0,1,0.0
2770,2625,1.0,1,0.0
2830,408,1.0,1,0.0
2830,1209,1.0,1,0.0
2830,1228,1.0,1,0.0
2830,2192,1.0,1,0.0
2830,2269,1.0,1,0.0
2830,2658,1.0,1,0.0
2857,2882,1.0,1,0.0
2861,166,1.0,1,0.0
2861,353,1.0,1,0.0
2861,377,1.0,1,0.0
2861,421,1.0,1,0.0
2861,482,1.0,1,0.0
2861,579,1.0,1,0.0
2861,639,1.0,1,0.0
2861,640,1.0,1,0.0
2861,830,1.0,1,0.0
2861,904,1.0,1,0.0
2861,932,1.0,1,0.0
2861,1009,1.0,1,0.0
2861,1044,1.0,1,0.0
2861,1120,1.0,1,0.0
2861,1168,1.0,1,0.0
2861,2182,1.0,1,0.0
2861,2297,1.0,1,0.0
2861,2425,1.0,1,0.0
2861,2732,1.0,1,0.0
2882,2857,1.0,1,0.0
2941,818,1.0,1,0.0
2941,1125,1.0,1,0.0
2941,2566,8.006700845440367,1,3000.0
