src_id,dst_id,weight,shared_controller_cnt
2289,861,1.0,1
2289,887,1.0,1
2289,959,1.0,1
2289,1038,1.0,1
2289,1192,1.0,1
2289,1201,1.0,1
2289,1272,1.0,1
2289,2192,1.0,1
2289,2208,1.0,1
2289,2212,1.0,1
2289,2228,1.0,1
2289,2241,1.0,1
2289,2297,1.0,1
2289,2308,1.0,1
2289,2313,1.0,1
2289,2315,1.0,1
2289,2348,1.0,1
2289,2353,1.0,1
2289,2467,1.0,1
2289,2469,1.0,1
2297,96,1.0,1
2297,136,1.0,1
2297,169,1.0,1
2297,183,1.0,1
2297,187,1.0,1
2297,191,1.0,1
2297,820,1.0,1
2297,852,1.0,1
2297,861,1.0,1
2297,887,1.0,1
2297,959,1.0,1
2297,1038,1.0,1
2297,1192,1.0,1
2297,1201,1.0,1
2297,1272,1.0,1
2297,2192,1.0,1
2297,2208,1.0,1
2297,2212,1.0,1
2297,2228,1.0,1
2297,2241,1.0,1
2297,2289,1.0,1
2297,2308,1.0,1
2297,2313,1.0,1
2297,2315,1.0,1
2297,2348,1.0,1
2297,2353,1.0,1
2297,2467,1.0,1
2297,2469,1.0,1
2301,375,1.0,1
2301,2590,1.0,1
2307,827,1.0,1
2308,96,1.0,1
2308,136,1.0,1
2308,169,1.0,1
2308,183,1.0,1
2308,187,1.0,1
2308,191,1.0,1
2308,820,1.0,1
2308,852,1.0,1
2308,861,1.0,1
2308,887,1.0,1
2308,959,1.0,1
2308,1038,1.0,1
2308,1192,1.0,1
2308,1201,1.0,1
2308,1272,1.0,1
2308,2192,1.0,1
2308,2208,1.0,1
2308,2212,1.0,1
2308,2228,1.0,1
2308,2241,1.0,1
2308,2289,1.0,1
2308,2297,1.0,1
2308,2313,1.0,1
2308,2315,1.0,1
2308,2348,1.0,1
2308,2353,1.0,1
2308,2467,1.0,1
2308,2469,1.0,1
2313,96,1.0,1
2313,136,1.0,1
2313,169,1.0,1
2313,183,1.0,1
2313,187,1.0,1
2313,191,1.0,1
2313,820,1.0,1
2313,852,1.0,1
2313,861,1.0,1
2313,887,1.0,1
2313,959,1.0,1
