src_stkcd,dst_stkcd,dst_name,event_date,EndDate,ActualGuaranteeAmount,GuaranteeTypeID,CurrencyCode,is_listed_target,year
002564,601727,上海电气集团股份有限公司,2019-08-21,2020-08-20,60000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2018-12-28,2019-12-27,77000.0,P7930,CNY,True,2018
002564,601727,上海电气集团股份有限公司,2018-12-26,2019-12-25,150000.0,P7930,CNY,True,2018
002564,601727,上海电气集团股份有限公司,2020-08-08,,,"P7910,P7920,P7930",CNY,True,2020
002564,601727,上海电气集团股份有限公司,2020-10-24,,,"P7910,P7920,P7930",CNY,True,2020
002564,601727,上海电气集团股份有限公司,2019-12-06,2031-11-28,10000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2020-08-20,2022-08-19,14080.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2020-05-12,2021-05-11,16000.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2019-12-20,2022-12-18,40000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2019-12-18,2020-12-18,60000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2019-08-21,2020-08-20,60000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2020-04-30,2022-04-29,80960.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2019-09-05,2022-09-05,127328.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2021-03-17,,,"P7910,P7920,P7930",CNY,True,2021
002564,601727,上海电气集团股份有限公司,2020-03-07,2021-03-06,1600.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2020-02-28,2021-02-27,3200.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2019-08-06,2021-08-05,4128.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2021-02-23,2023-02-22,4800.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-04-02,2022-03-16,5440.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-12-15,2022-12-15,5945.6,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-08-02,2022-08-02,6048.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2020-04-30,2022-04-29,6400.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2021-01-15,2021-07-14,6400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-02-23,2021-04-22,6400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-03-31,2021-05-25,6400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-03-31,2023-03-31,6400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-04-27,2021-07-30,6400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-07-30,2022-07-29,6400.0,P7930,CNY,True,2021
